iter	Passed	Remaining
474	694	767
475	694	764
476	695	762
477	696	760
478	699	761
479	700	758
480	701	756
481	702	754
482	703	752
483	703	750
484	704	748
485	705	745
486	705	743
487	706	741
488	707	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	711	726
495	713	725
496	714	722
497	715	720
498	715	718
499	716	716
500	717	714
501	717	711
502	718	709
503	718	707
504	719	704
505	719	702
506	720	700
507	721	698
508	722	696
509	724	695
510	729	698
511	730	696
512	731	694
513	731	691
514	732	689
515	733	687
516	733	685
517	734	683
518	734	681
519	735	678
520	736	676
521	736	674
522	737	672
523	737	670
524	738	668
525	739	666
526	742	666
527	743	664
528	743	662
529	744	660
530	744	657
531	745	655
532	746	653
533	746	651
534	747	649
535	747	647
536	748	645
537	749	643
538	750	641
539	750	639
540	751	637
541	752	635
542	752	633
543	753	631
544	754	630
545	756	628
546	757	627
547	758	625
548	758	623
549	759	621
550	759	618
551	760	616
552	760	614
553	761	612
554	761	610
555	762	608
556	762	606
557	763	604
558	763	602
559	764	600
560	765	598
561	765	596
562	766	594
563	767	593
564	771	593
565	772	592
566	773	590
567	773	588
568	774	586
569	775	584
570	776	583
571	776	581
572	777	579
573	778	577
574	779	575
575	779	574
576	780	572
577	781	570
578	781	568
579	782	566
580	786	567
581	787	565
582	788	563
583	788	562
584	789	560
585	790	558
586	791	556
587	791	554
588	792	552
589	792	551
590	793	549
591	794	547
592	795	545
593	796	544
594	800	545
595	802	543
596	803	542
597	803	540
598	805	539
599	805	537
600	806	535
601	807	533
602	807	531
603	808	529
604	808	528
605	809	526
606	810	524
607	811	522
608	811	521
609	814	520
610	815	519
611	816	517
612	817	515
613	817	514
614	818	512
615	819	510
616	819	509
617	820	507
618	821	505
619	821	503
620	822	502
621	823	500
622	823	498
623	824	496
624	825	495
625	826	493
626	828	492
627	829	491
628	829	489
629	830	487
630	831	486
631	832	484
632	832	482
633	833	481
634	833	479
635	834	477
636	835	475
637	835	474
638	836	472
639	836	470
640	837	469
641	838	467
642	838	465
643	839	463
644	840	462
645	841	461
646	843	460
647	844	458
648	844	456
649	845	455
650	846	453
651	846	451
652	846	450
653	847	448
654	848	446
655	848	445
656	849	443
657	850	441
658	850	440
659	851	438
660	852	437
661	852	435
662	853	433
663	854	432
664	854	430
665	857	430
666	858	428
667	859	426
668	859	425
669	860	423
670	861	422
671	861	420
672	862	418
673	862	417
674	863	415
675	864	414
676	864	412
677	865	410
678	865	409
679	866	407
680	866	406
681	867	404
682	867	402
683	868	401
684	869	399
685	870	398
686	872	397
687	873	396
688	874	394
689	875	393
690	875	391
691	876	390
692	876	388
693	877	386
694	878	385
695	878	383
696	879	382
697	879	380
698	880	379
699	881	377
700	881	376
701	882	374
702	883	373
703	883	371
704	884	370
705	885	368
706	887	367
707	888	366
708	889	365
709	890	363
710	890	362
711	891	360
712	892	359
713	892	357
714	893	356
715	893	354
716	894	353
717	895	351
718	896	350
719	896	348
720	897	347
721	898	345
722	898	344
723	899	342
724	900	341
725	902	340
726	902	339
727	903	337
728	904	336
729	905	334
730	905	333
731	906	331
732	907	330
733	907	328
734	908	327
735	909	326
736	909	324
737	910	323
738	910	321
739	911	320
740	912	318
741	912	317
742	913	316
743	914	314
744	915	313
745	916	312
746	917	310
747	918	309
748	919	307
749	919	306
750	920	305
751	920	303
752	921	302
753	922	300
754	922	299
755	923	298
756	924	296
757	924	295
758	925	293
759	926	292
760	926	291
761	927	289
762	928	288
763	929	287
764	930	285
765	931	284
766	932	283
767	932	281
768	933	280
769	934	279
770	934	277
771	935	276
772	936	274
773	936	273
774	937	272
775	937	270
776	938	269
777	939	268
778	940	266
779	940	265
780	941	264
781	942	262
782	943	261
783	946	260
784	947	259
785	947	258
786	948	256
787	949	255
788	949	254
789	950	252
790	950	251
791	951	249
792	952	248
793	953	247
794	953	245
795	954	244
796	954	243
797	955	241
798	956	240
799	956	239
800	957	237
801	958	236
802	959	235
803	960	234
804	960	232
805	961	231
806	962	230
807	962	228
808	963	227
809	964	226
810	964	224
811	965	223
812	966	222
813	966	220
814	967	219
815	968	218
816	968	217
817	969	215
818	970	214
819	971	213
820	973	212
821	973	210
822	974	209
823	975	208
824	976	207
825	976	205
826	977	204
827	979	203
828	979	202
829	980	200
830	981	199
831	982	198
832	983	197
833	984	195
834	985	194
835	987	193
836	989	192
837	990	191
838	992	190
839	993	189
840	994	188
841	995	186
842	996	185
843	997	184
844	999	183
845	1004	182
846	1005	181
847	1006	180
848	1007	179
849	1007	177
850	1008	176
851	1010	175
852	1012	174
853	1014	173
854	1015	172
855	1016	171
856	1017	169
857	1019	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1025	162
863	1027	161
864	1028	160
865	1029	159
866	1030	158
867	1030	156
868	1030	155
869	1031	154
870	1033	152
871	1033	151
872	1034	150
873	1035	149
874	1036	148
875	1038	146
876	1039	145
877	1041	144
878	1042	143
879	1043	142
880	1044	141
881	1045	139
882	1046	138
883	1047	137
884	1048	136
885	1049	134
886	1050	133
887	1051	132
888	1051	131
889	1053	130
890	1054	129
891	1055	127
892	1056	126
893	1058	125
894	1059	124
895	1059	123
896	1060	121
897	1062	120
898	1062	119
899	1063	118
900	1064	116
901	1065	115
902	1066	114
903	1069	113
904	1070	112
905	1071	111
906	1071	109
907	1072	108
908	1072	107
909	1073	106
910	1074	105
911	1076	103
912	1076	102
913	1078	101
914	1079	100
915	1080	99
916	1082	97
917	1083	96
918	1084	95
919	1085	94
920	1086	93
921	1087	91
922	1087	90
923	1088	89
924	1091	88
925	1093	87
926	1123	88
927	1129	87
928	1141	87
929	1142	86
930	1145	84
931	1146	83
932	1147	82
933	1149	81
934	1150	79
935	1151	78
936	1152	77
937	1155	76
938	1156	75
939	1157	73
940	1161	72
941	1163	71
942	1164	70
943	1165	69
944	1172	68
945	1173	66
946	1204	67
947	1205	66
948	1206	64
949	1208	63
950	1210	62
951	1337	67
952	1338	66
953	1355	65
954	1356	63
955	1358	62
956	1361	61
957	1362	59
958	1366	58
959	1377	57
960	1378	55
961	1385	54
962	1390	53
963	1402	52
964	1403	50
965	1405	49
966	1405	47
967	1415	46
968	1416	45
969	1417	43
970	1421	42
971	1421	40
972	1424	39
973	1425	38
974	1426	36
975	1432	35
976	1433	33
977	1434	32
978	1435	30
979	1436	29
980	1437	27
981	1438	26
982	1439	24
983	1440	23
984	1442	21
985	1443	20
986	1444	19
987	1445	17
988	1446	16
989	1447	14
990	1448	13
991	1449	11
992	1449	10
993	1450	8
994	1451	7
995	1452	5
996	1453	4
997	1460	2
998	1461	1
999	1462	0
